timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748623274489,113260,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,6528,377,1,1,http://localhost:8003/run-agent,113260,0,13
1748623410397,92597,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,23522,293,1,1,http://localhost:8003/run-agent,92595,0,2
1748623521363,37062,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1345,246,1,1,http://localhost:8003/run-agent,37062,0,1
1748623575286,124768,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1836836,282,1,1,http://localhost:8003/run-agent,124652,0,2
1748623752022,100109,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1197938,270,1,1,http://localhost:8003/run-agent,100014,0,2
1748623852407,82527,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,6256,270,1,1,http://localhost:8003/run-agent,82527,0,1
1748623944817,87941,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,7858,301,1,1,http://localhost:8003/run-agent,87941,0,1
1748624044587,41097,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1485,274,1,1,http://localhost:8003/run-agent,41097,0,1
1748624088261,80194,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,2802,322,1,1,http://localhost:8003/run-agent,80194,0,1
1748624195403,95122,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,20381,286,1,1,http://localhost:8003/run-agent,95121,0,2
1748624291274,83179,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,4758,264,1,1,http://localhost:8003/run-agent,83179,0,1
1748624425339,140233,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,17389857,321,1,1,http://localhost:8003/run-agent,138963,0,1
1748624570810,109107,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,8273,377,1,1,http://localhost:8003/run-agent,109107,0,3
1748624688899,38399,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1550,293,1,1,http://localhost:8003/run-agent,38399,0,1
1748624778887,42630,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1495,246,1,1,http://localhost:8003/run-agent,42630,0,1
1748624877409,155093,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,3674706,282,1,1,http://localhost:8003/run-agent,154901,0,2
1748625034500,83179,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,6318,270,1,1,http://localhost:8003/run-agent,83178,0,3
1748625138969,78668,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,5954,270,1,1,http://localhost:8003/run-agent,78668,0,1
1748625257523,106943,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,7721,301,1,1,http://localhost:8003/run-agent,106943,0,0
1748625376323,40599,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1585,274,1,1,http://localhost:8003/run-agent,40599,0,19
1748625417418,82671,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,5692,322,1,1,http://localhost:8003/run-agent,82671,0,1
1748625509149,93061,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,19834,286,1,1,http://localhost:8003/run-agent,93060,0,2
1748625639374,42509,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1496,264,1,1,http://localhost:8003/run-agent,42509,0,2
1748625705332,101573,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1484579,321,1,1,http://localhost:8003/run-agent,101491,0,1
1748625818231,108492,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,8038,377,1,1,http://localhost:8003/run-agent,108492,0,2
1748626792767,116836,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,6921,377,1,1,http://localhost:8003/run-agent,116834,0,6
1748626921275,37915,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1444,293,1,1,http://localhost:8003/run-agent,37915,0,2
1748626962144,36398,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1349,246,1,1,http://localhost:8003/run-agent,36398,0,2
1748627000336,117044,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1838081,282,1,1,http://localhost:8003/run-agent,116929,0,1
1748627129327,85111,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,6025,270,1,1,http://localhost:8003/run-agent,85111,0,1
1748627246748,84960,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,6773,270,1,1,http://localhost:8003/run-agent,84960,0,1
1748627336828,85916,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,4123,301,1,1,http://localhost:8003/run-agent,85916,0,1
1748627433327,88382,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,6205,274,1,1,http://localhost:8003/run-agent,88382,0,2
1748627529263,88224,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,5757,322,1,1,http://localhost:8003/run-agent,88224,0,1
1748627658215,94013,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,22849,286,1,1,http://localhost:8003/run-agent,94013,0,2
1748627810666,95117,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,6506,264,1,1,http://localhost:8003/run-agent,95117,0,2
1748627908552,81085,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,4919,321,1,1,http://localhost:8003/run-agent,81085,0,1
1748627998091,103734,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,6464,377,1,1,http://localhost:8003/run-agent,103734,0,1
1748628120231,78858,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,6390,293,1,1,http://localhost:8003/run-agent,78858,0,1
1748628260263,41978,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1327,246,1,1,http://localhost:8003/run-agent,41978,0,2
1748628334902,118287,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1837542,282,1,1,http://localhost:8003/run-agent,118085,0,1
1748628480122,79863,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,7020,270,1,1,http://localhost:8003/run-agent,79863,0,2
1748628560544,78800,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,6824,270,1,1,http://localhost:8003/run-agent,78800,0,4
1748628658678,86470,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,9049,301,1,1,http://localhost:8003/run-agent,86470,0,2
1748628783210,85232,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,6267,274,1,1,http://localhost:8003/run-agent,85232,0,14
1748628879318,82339,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,5744,322,1,1,http://localhost:8003/run-agent,82339,0,1
1748628963221,92930,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,19941,286,1,1,http://localhost:8003/run-agent,92929,0,1
1748629071747,84240,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,6325,264,1,1,http://localhost:8003/run-agent,84240,0,1
1748629159250,115739,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,11605,321,1,1,http://localhost:8003/run-agent,115739,0,2
1748629306604,112592,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,6761,377,1,1,http://localhost:8003/run-agent,112592,0,1
1748629420372,91136,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,22483,293,1,1,http://localhost:8003/run-agent,91135,0,1
1748629512752,37536,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1409,246,1,1,http://localhost:8003/run-agent,37536,0,2
1748630394342,114869,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,7038,377,1,1,http://localhost:8003/run-agent,114869,0,3
1748630511999,37437,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,1436,293,1,1,http://localhost:8003/run-agent,37437,0,1
1748630595610,36271,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,1314,246,1,1,http://localhost:8003/run-agent,36271,0,1
1748630635354,119343,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,1837071,282,1,1,http://localhost:8003/run-agent,119203,0,2
1748630765228,104846,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3227008,270,1,1,http://localhost:8003/run-agent,104678,0,1
1748630908197,82053,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,7843,270,1,1,http://localhost:8003/run-agent,82053,0,1
1748630992660,85535,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,7701,301,1,1,http://localhost:8003/run-agent,85535,0,1
1748631091061,85712,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,5103,274,1,1,http://localhost:8003/run-agent,85712,0,1
1748631206360,109857,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,6945,322,1,1,http://localhost:8003/run-agent,109857,0,1
1748631322916,91222,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,25756,286,1,1,http://localhost:8003/run-agent,91222,0,3
1748631424195,83252,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,5187,264,1,1,http://localhost:8003/run-agent,83252,0,1
1748631522312,94308,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,1481206,321,1,1,http://localhost:8003/run-agent,94170,0,1
1748631636758,108140,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,7032,377,1,1,http://localhost:8003/run-agent,108140,0,0
1748631828803,42964,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,1501,293,1,1,http://localhost:8003/run-agent,42964,0,1
1748631886039,41849,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,1368,246,1,1,http://localhost:8003/run-agent,41849,0,2
1748631937475,117928,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,1839379,282,1,1,http://localhost:8003/run-agent,117786,0,2
1748632070580,84688,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,6227,270,1,1,http://localhost:8003/run-agent,84688,0,1
1748632172800,76555,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3328,270,1,1,http://localhost:8003/run-agent,76555,0,2
1748632328703,82157,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,7000,301,1,1,http://localhost:8003/run-agent,82157,0,2
