Elapsed time;my_test_sampler
23:32:03,0;104430.0
23:33:16,0;65654.0
23:34:05,500;36359.0
23:35:43,500;85909.0
23:37:33,500;96315.0
23:38:58,0;71465.0
23:41:04,0;99640.0
23:42:46,0;71960.0
23:44:00,500;72042.0
23:45:13,500;72230.0
23:46:38,0;70459.0
23:48:03,500;71681.0
23:50:19,500;93916.0
23:51:52,0;70076.0
23:53:05,0;66776.0
23:54:36,0;82870.0
23:55:48,500;70370.0
23:56:59,500;69007.0
23:58:22,500;72319.0
23:59:44,0;70386.0
00:02:13,0;92370.0
00:03:34,0;74290.0
00:04:58,0;71759.0
00:06:15,500;68013.0
00:07:53,500;92621.0
00:09:20,500;67461.0
00:10:02,500;35512.0
00:11:52,500;85828.0
00:13:09,0;68200.0
00:14:42,0;66349.0
00:16:08,0;69252.0
00:34:06,0;103230.0
00:34:55,500;36310.0
00:36:03,500;67040.0
00:37:40,500;84390.0
00:39:25,500;92165.0
00:41:09,0;66961.0
00:42:20,0;67782.0
00:43:30,500;67886.0
00:45:07,0;66239.0
00:46:18,0;70001.0
00:47:38,0;36452.0
00:49:05,0;75065.0
00:50:49,500;93359.0
00:51:40,500;36378.0
00:53:06,0;36158.0
00:54:39,500;77999.0
00:56:04,0;68163.0
00:57:24,500;65933.0
00:58:53,0;68618.0
01:00:09,500;67729.0
01:01:24,0;68270.0
01:03:08,0;72224.0
01:04:18,500;69388.0
01:06:23,0;77944.0
01:08:00,0;92192.0
01:09:09,500;68198.0
01:10:00,0;36128.0
01:12:12,500;81291.0
01:13:54,500;70763.0
01:15:14,0;67522.0
01:16:49,500;69089.0
01:32:04,0;103963.0
01:32:46,0;36273.0
01:33:56,0;69362.0
01:35:33,0;84789.0
01:36:43,500;69027.0
01:38:24,500;67623.0
01:40:59,0;68602.0
01:41:37,0;37623.0
01:43:20,0;69538.0
01:45:10,0;71897.0
01:46:16,500;36808.0
01:47:45,500;68969.0
01:49:36,500;92744.0
01:50:33,0;36475.0
01:51:16,500;36175.0
01:53:07,0;85180.0
01:54:25,0;66591.0
01:56:25,500;68771.0
01:58:33,500;94757.0
02:00:00,0;69896.0
02:01:09,500;67674.0
02:02:36,500;72079.0
02:03:48,500;68708.0
02:05:09,500;80469.0
02:06:46,0;92181.0
02:07:56,0;66125.0
02:08:42,0;36059.0
02:10:13,500;85916.0
02:11:36,500;82229.0
02:13:09,500;69764.0
02:14:24,500;71370.0
02:15:36,500;71393.0
02:16:58,500;70413.0
