tool_name,Metric,mean_value,std_value,cv,users,nodes
analyzing_data,CPU,3.2105987049860396e-05,8.21602903707814e-06,0.25590333118613356,1,3
analyzing_data,GPU,0.0004075971506069929,0.00012808481839757997,0.3142436550570491,1,3
analyzing_data,RAM,7.802774360873405e-05,1.9288935283829035e-05,0.247206114027241,1,3
analyzing_data,Total,0.0005177308812655896,0.0001536020949647551,0.29668327797885236,1,3
create_visualization,CPU,1.936172400876929e-05,3.90542736935803e-06,0.20170865815405636,1,3
create_visualization,GPU,0.00017002034069479527,3.9162081866269266e-05,0.23033762728760437,1,3
create_visualization,RAM,4.763218699244726e-05,1.0730250961104414e-05,0.22527311128514513,1,3
create_visualization,Total,0.00023701425169598422,4.634043634581156e-05,0.19551751008311505,1,3
decide_tool,CPU,1.2174097485538887e-05,7.303018214653011e-06,0.5998816933516401,1,3
decide_tool,GPU,6.493892099873815e-05,5.093057054638762e-05,0.7842842129664777,1,3
decide_tool,RAM,2.8400488498361183e-05,1.7034916946588008e-05,0.5998107021141903,1,3
decide_tool,Total,0.00010551350698263791,7.493937651118475e-05,0.7102349135596062,1,3
lookup_sales_data,CPU,2.2374136096195687e-05,1.0066661791187636e-05,0.4499240439008185,1,3
lookup_sales_data,GPU,0.00014642709116425778,7.275669150880172e-05,0.49687998942207573,1,3
lookup_sales_data,RAM,5.775956146176295e-05,2.255038433552355e-05,0.39041820548537215,1,3
lookup_sales_data,Total,0.0002265607887222085,9.714080298193006e-05,0.4287626448062762,1,3
