Elapsed time;jp@gc - Ultimate Thread Group
00:56:33,400;6.0
00:56:40,700;7.0
00:56:51,300;7.0
00:57:18,900;8.0
00:57:59,800;9.0
00:58:00,400;9.0
00:58:09,100;9.0
00:58:16,500;10.0
00:58:55,600;11.0
00:58:57,900;11.0
00:59:07,800;11.0
00:59:16,500;12.0
00:59:18,900;12.0
00:59:29,400;12.0
00:59:47,0;13.0
00:59:48,200;13.0
00:59:48,600;13.0
00:59:59,500;13.0
01:00:23,0;14.0
01:00:35,200;14.0
01:00:37,500;14.0
01:00:41,600;15.0
01:00:48,200;15.0
01:01:04,600;15.0
01:01:04,700;15.0
01:02:25,500;18.0
01:02:37,200;18.0
01:02:37,500;18.0
01:02:37,800;18.0
01:02:38,700;18.0
01:02:43,800;19.0
01:02:50,800;19.0
01:03:16,100;20.0
01:03:17,400;20.0
01:03:27,900;20.0
01:03:41,100;21.0
01:03:53,900;21.0
01:03:55,100;21.0
01:03:56,400;21.0
01:04:00,400;21.0
01:04:03,100;21.0
01:05:13,800;24.0
01:05:14,400;24.0
01:05:15,700;24.0
01:06:22,500;26.0
01:06:33,700;26.0
01:06:42,0;27.0
01:06:45,100;27.0
01:07:11,500;28.0
01:07:35,900;28.0
01:07:36,0;28.0
01:07:36,600;28.0
01:07:44,100;29.0
01:08:17,400;30.0
01:08:34,800;30.0
01:08:35,0;30.0
01:09:13,800;30.0
01:09:29,500;30.0
01:09:30,200;30.0
01:09:43,300;30.0
01:09:43,900;30.0
01:10:01,600;30.0
01:10:31,200;30.0
01:10:33,200;30.0
01:11:24,900;30.0
01:11:42,200;30.0
01:11:53,400;30.0
01:12:02,100;30.0
01:12:12,900;30.0
01:12:43,100;30.0
01:12:43,800;30.0
01:12:44,300;30.0
01:12:49,200;30.0
01:12:52,600;30.0
01:13:01,400;30.0
01:13:02,700;30.0
01:13:29,500;30.0
01:13:36,600;30.0
01:13:40,0;30.0
01:13:43,700;30.0
01:13:50,200;30.0
01:13:58,700;30.0
01:14:00,200;30.0
01:14:11,700;30.0
01:14:26,400;30.0
01:14:30,700;30.0
01:14:38,800;30.0
01:14:39,900;30.0
01:14:46,400;30.0
01:14:46,900;30.0
01:14:48,400;30.0
01:15:30,600;30.0
01:15:34,900;30.0
01:15:47,200;30.0
01:16:26,700;30.0
01:16:40,500;30.0
01:16:41,600;30.0
01:16:42,400;30.0
01:17:01,900;30.0
01:17:02,400;30.0
01:17:05,700;30.0
01:17:43,200;30.0
01:17:45,400;30.0
01:18:15,500;30.0
01:18:17,500;30.0
01:18:19,0;30.0
01:18:19,400;30.0
01:18:35,100;30.0
01:18:43,100;30.0
01:19:29,800;30.0
01:19:38,700;30.0
01:19:48,500;30.0
01:19:49,100;30.0
01:19:49,900;30.0
01:20:21,900;30.0
01:20:22,700;30.0
01:20:23,300;30.0
01:21:10,300;30.0
01:21:11,200;30.0
01:21:12,700;30.0
01:21:16,300;30.0
01:21:19,200;30.0
01:21:47,900;30.0
01:22:14,600;30.0
01:22:34,600;30.0
01:22:35,200;30.0
01:23:19,100;30.0
01:23:19,300;30.0
01:23:20,900;30.0
01:23:24,900;30.0
01:23:44,400;30.0
01:24:02,200;30.0
01:24:14,400;30.0
01:24:15,300;30.0
01:24:16,400;30.0
01:24:17,200;30.0
01:24:37,900;30.0
01:24:38,500;30.0
01:24:50,100;30.0
01:25:01,300;30.0
01:25:18,600;30.0
01:27:13,100;30.0
01:27:22,100;30.0
01:27:40,500;30.0
01:27:57,900;30.0
01:28:15,900;30.0
01:28:16,300;30.0
01:28:22,900;30.0
01:28:23,100;30.0
01:28:29,800;30.0
01:28:54,0;30.0
01:28:54,100;30.0
01:28:55,900;30.0
01:29:31,800;30.0
01:29:32,400;30.0
01:29:35,100;30.0
01:30:13,900;30.0
01:30:40,200;30.0
01:30:41,200;30.0
01:31:02,0;30.0
01:31:02,400;30.0
01:31:20,700;30.0
01:31:30,300;30.0
01:31:39,100;30.0
01:31:39,300;30.0
01:31:56,700;30.0
01:32:24,200;30.0
01:32:35,800;30.0
01:33:21,500;30.0
01:33:45,300;30.0
01:34:34,800;30.0
01:35:16,300;30.0
01:35:24,600;30.0
01:35:32,900;30.0
01:35:39,700;30.0
01:36:19,600;30.0
01:36:21,800;30.0
01:36:24,0;30.0
01:36:26,600;30.0
01:36:36,300;30.0
01:36:50,600;30.0
01:37:04,100;30.0
01:37:20,800;30.0
01:37:43,900;30.0
01:38:11,800;30.0
01:38:23,300;30.0
01:38:23,800;30.0
01:38:24,500;30.0
01:38:56,600;30.0
01:39:04,400;30.0
01:39:07,200;30.0
01:39:17,400;30.0
01:39:20,100;30.0
01:39:20,500;30.0
01:40:50,700;30.0
01:41:00,900;30.0
01:41:11,500;30.0
01:41:17,700;30.0
01:42:07,700;30.0
01:42:36,300;30.0
01:42:57,800;30.0
01:42:59,100;30.0
01:43:02,0;30.0
01:43:02,800;30.0
01:43:05,300;30.0
01:45:28,500;30.0
01:45:29,0;30.0
01:45:37,0;30.0
01:45:47,400;30.0
01:46:32,500;30.0
01:46:34,800;29.0
01:46:35,800;29.0
01:47:05,700;29.0
01:47:06,500;29.0
01:47:07,0;28.0
01:47:08,300;27.0
01:47:09,100;27.0
01:47:09,300;26.0
01:47:10,300;25.0
01:47:11,900;24.0
01:47:25,400;24.0
01:47:49,800;24.0
01:47:50,400;23.0
01:47:51,200;22.0
01:48:05,400;21.0
01:48:23,900;21.0
01:48:54,500;20.0
01:48:55,100;19.0
01:48:55,500;18.0
01:49:03,400;17.0
01:49:08,300;16.0
01:49:42,400;15.0
01:50:03,800;14.0
01:51:27,300;13.0
01:51:42,700;12.0
01:52:07,300;11.0
01:52:08,800;10.0
01:52:09,200;9.0
01:52:10,700;8.0
01:52:11,300;7.0
01:52:12,0;6.0
01:52:22,100;5.0
01:52:28,700;3.5
01:52:28,900;2.0
01:55:38,0;5.0
01:57:11,800;9.0
