timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1750287283009,110415,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-30,text,true,,5572,377,6,6,http://localhost:8003/run-agent,110415,0,0
1750287303004,97788,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-29,text,true,,5423,377,7,7,http://localhost:8003/run-agent,97788,0,0
1750287315587,95769,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-27,text,true,,6052,377,7,7,http://localhost:8003/run-agent,95769,0,1
1750287329844,109110,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-28,text,true,,6703,377,8,8,http://localhost:8003/run-agent,109110,0,1
1750287381079,98783,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-26,text,true,,5615,377,9,9,http://localhost:8003/run-agent,98783,0,1
1750287433789,46631,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-29,text,true,,1204,293,9,9,http://localhost:8003/run-agent,46631,0,0
1750287450264,38908,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-27,text,true,,1164,293,9,9,http://localhost:8003/run-agent,38908,0,1
1750287456586,39946,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-28,text,true,,1222,293,10,10,http://localhost:8003/run-agent,39946,0,3
1750287480684,54989,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-29,text,true,,1105,246,11,11,http://localhost:8003/run-agent,54989,0,1
1750287446304,91630,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-30,text,true,,21751,293,11,11,http://localhost:8003/run-agent,91630,0,1
1750287414151,133692,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-24,text,true,,5911,377,11,11,http://localhost:8003/run-agent,133692,0,1
1750287508019,48516,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-28,text,true,,1130,246,12,12,http://localhost:8003/run-agent,48516,0,1
1750287431768,127206,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-23,text,true,,6730,377,12,12,http://localhost:8003/run-agent,127206,0,1
1750287522088,47374,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-27,text,true,,1110,246,12,12,http://localhost:8003/run-agent,47374,0,0
