Elapsed time;my_test_sampler
12:18:19,0;113197.0
12:19:39,0;79617.0
12:21:00,0;77107.0
12:22:40,0;134235.0
12:24:38,0;216496.0
12:25:16,500;129021.0
12:27:02,0;217792.0
12:28:49,0;226248.0
12:30:12,500;275465.0
12:30:50,0;212893.0
12:32:10,500;175085.0
12:32:47,0;87904.0
12:34:41,500;196973.0
12:36:34,0;225008.0
12:38:31,500;340709.0
12:40:22,0;314489.0
12:41:46,500;276860.0
12:43:26,500;291087.0
12:44:47,500;260879.0
12:46:12,500;265310.0
12:47:35,0;246295.0
12:48:59,0;248868.0
12:50:38,500;246573.0
12:52:04,500;258558.0
12:53:35,500;268508.0
12:55:01,500;173196.0
12:55:40,0;182439.0
12:57:33,0;217572.0
12:59:21,500;248343.0
13:01:12,0;306150.0
13:02:44,500;282503.0
13:04:21,500;298948.0
13:06:05,500;275160.0
13:06:42,500;178106.0
13:08:01,0;205348.0
13:09:22,0;146744.0
13:10:44,0;160118.0
13:18:19,500;112074.0
13:19:28,0;42450.0
13:20:33,0;36995.0
13:22:16,500;102521.0
13:24:14,0;217164.0
13:25:47,500;187903.0
13:27:30,0;248284.0
13:28:50,0;273879.0
13:30:09,0;247842.0
13:30:51,0;163698.0
13:32:09,500;126632.0
13:34:07,0;233848.0
13:34:44,500;167953.0
13:36:10,0;198438.0
13:37:57,500;224070.0
13:39:52,500;302957.0
13:40:33,0;215876.0
13:41:55,500;234294.0
13:43:39,0;190763.0
13:45:05,0;263430.0
13:46:30,500;273993.0
13:48:19,500;236167.0
13:49:51,500;279399.0
13:51:14,0;271563.0
13:53:03,0;265139.0
13:53:40,500;223302.0
13:55:00,500;224778.0
13:56:24,0;174277.0
13:58:04,500;221834.0
13:59:43,0;261078.0
14:01:11,0;263544.0
14:03:03,500;255101.0
14:04:30,500;270944.0
14:06:05,0;175932.0
14:06:43,0;209241.0
14:08:06,0;204125.0
14:08:43,500;130873.0
14:10:11,500;81908.0
14:19:13,0;109647.0
14:20:36,500;82810.0
14:22:19,0;136931.0
14:23:01,0;141098.0
14:24:19,0;101483.0
14:26:00,0;177176.0
14:27:55,500;292488.0
14:29:17,500;292051.0
14:30:54,500;239782.0
14:32:18,500;167779.0
14:34:21,500;274486.0
14:35:03,500;241778.0
14:36:25,0;237353.0
14:37:50,500;196520.0
14:39:47,500;277279.0
14:41:38,500;307997.0
14:42:59,0;280842.0
14:44:22,500;248962.0
14:50:44,500;459729.0
14:52:06,0;415476.0
14:53:28,500;135780.0
14:54:49,500;147231.0
14:56:38,500;181804.0
14:58:02,0;179751.0
14:59:33,500;618967.5
15:01:23,0;146716.0
15:02:00,500;111758.0
15:03:48,500;183500.0
15:05:22,500;229079.0
15:07:05,500;296605.0
15:08:38,0;277314.0
15:10:04,0;265787.0
15:11:46,500;275184.0
