tool_name,Metric,mean_value,std_value,users,nodes
analyzing_data,CPU,4.052473130235348e-05,1.2255738282543326e-05,3,5
analyzing_data,GPU,0.0006817125423840453,0.0002486450062920795,3,5
analyzing_data,RAM,9.759180006690462e-05,2.8163359012739995e-05,3,5
analyzing_data,Total,0.0008198290737533233,0.0002878375324367136,3,5
create_visualization,CPU,2.051107367992194e-05,4.7073280186152115e-06,3,5
create_visualization,GPU,0.00024983841746061664,7.095077569849485e-05,3,5
create_visualization,RAM,5.0338952083795996e-05,1.1476272275100083e-05,3,5
create_visualization,Total,0.00032068844322432916,8.54953184649637e-05,3,5
decide_tool,CPU,9.684463109375095e-06,2.267006996458905e-06,3,5
decide_tool,GPU,6.567692499808883e-05,2.0822356346952293e-05,3,5
decide_tool,RAM,2.2592943944969745e-05,5.288176932804682e-06,3,5
decide_tool,Total,9.795433205241777e-05,2.812399417173481e-05,3,5
lookup_sales_data,CPU,1.8289644467547868e-05,5.928855570437932e-06,3,5
lookup_sales_data,GPU,0.0001834377695320106,5.87942085254944e-05,3,5
lookup_sales_data,RAM,4.8073031872364826e-05,1.4791223016776517e-05,3,5
lookup_sales_data,Total,0.0002498004458719227,6.85220994364102e-05,3,5
