timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749989216621,109301,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-39,text,true,,5690,377,7,7,http://localhost:8003/run-agent,109301,0,1
1749989262544,106901,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-38,text,true,,5453,377,8,8,http://localhost:8003/run-agent,106901,0,1
1749989272711,109034,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-37,text,true,,5972,377,9,9,http://localhost:8003/run-agent,109034,0,0
1749989340227,52875,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-39,text,true,,1179,293,10,10,http://localhost:8003/run-agent,52875,0,1
1749989333222,112835,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-34,text,true,,6238,377,12,12,http://localhost:8003/run-agent,112835,0,0
1749989323787,130454,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-36,text,true,,6458,377,12,12,http://localhost:8003/run-agent,130454,0,1
1749989332679,122059,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-35,text,true,,6128,377,12,12,http://localhost:8003/run-agent,122059,0,1
1749989421412,40461,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-39,text,true,,1200,246,13,13,http://localhost:8003/run-agent,40461,0,0
1749989350137,128128,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-40,text,true,,6066,377,13,13,http://localhost:8003/run-agent,128128,0,0
1749989448836,38338,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-34,text,true,,1222,293,14,14,http://localhost:8003/run-agent,38338,0,1
1749989458349,37465,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-36,text,true,,1165,293,14,14,http://localhost:8003/run-agent,37465,0,1
1749989380975,117811,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-33,text,true,,6706,377,14,14,http://localhost:8003/run-agent,117811,0,1
1749989390524,112666,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-32,text,true,,5826,377,14,14,http://localhost:8003/run-agent,112666,0,1
1749989470020,36932,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-37,text,true,,1204,293,15,15,http://localhost:8003/run-agent,36932,0,2
1749989402131,109413,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-31,text,true,,6010,377,15,15,http://localhost:8003/run-agent,109413,0,1
1749989473103,38500,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-38,text,true,,1187,293,15,15,http://localhost:8003/run-agent,38500,0,1
1749989526175,70983,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-34,text,true,,1184,246,19,19,http://localhost:8003/run-agent,70983,0,0
1749989530707,77881,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-35,text,true,,1215,293,19,19,http://localhost:8003/run-agent,77881,0,1
1749989537805,72511,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-37,text,true,,1137,246,19,19,http://localhost:8003/run-agent,72511,0,1
1749989483983,130060,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-39,text,true,,1838414,282,19,19,http://localhost:8003/run-agent,129931,0,1
1749989545044,77453,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-32,text,true,,1244,293,20,20,http://localhost:8003/run-agent,77453,0,1
1749989608816,76971,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-31,text,true,,1208,293,23,23,http://localhost:8003/run-agent,76971,0,0
1749989539627,153390,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-33,text,true,,21489,293,23,23,http://localhost:8003/run-agent,153390,0,1
1749989533950,165050,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-36,text,true,,5423,246,23,23,http://localhost:8003/run-agent,165050,0,0
1749989535878,163704,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-38,text,true,,5614,246,23,23,http://localhost:8003/run-agent,163704,0,1
1749989494095,210335,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-28,text,true,,8994,377,23,23,http://localhost:8003/run-agent,210335,0,0
1749989633238,72032,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-32,text,true,,1112,246,23,23,http://localhost:8003/run-agent,72032,0,1
1749989505266,200717,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-29,text,true,,7631,377,23,23,http://localhost:8003/run-agent,200717,0,1
1749989514307,192255,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-30,text,true,,6491,377,23,23,http://localhost:8003/run-agent,192255,0,1
1749989520917,187919,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-26,text,true,,5916,377,24,24,http://localhost:8003/run-agent,187919,0,1
1749989570962,169227,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-40,text,true,,3814,293,25,25,http://localhost:8003/run-agent,169227,0,1
1749989528464,235875,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-25,text,true,,5970,377,26,26,http://localhost:8003/run-agent,235875,0,1
1749989540528,224650,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-27,text,true,,6273,377,26,26,http://localhost:8003/run-agent,224650,0,1
1749989645846,141689,my_test_sampler,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8003 failed to respond,jp@gc - Ultimate Thread Group 1-23,text,false,,2091,0,27,27,http://localhost:8003/run-agent,0,0,1
1749989604548,182987,my_test_sampler,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8003 failed to respond,jp@gc - Ultimate Thread Group 1-34,text,false,,2091,0,27,27,http://localhost:8003/run-agent,0,0,1
1749989750155,37379,my_test_sampler,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8003 failed to respond,jp@gc - Ultimate Thread Group 1-17,text,false,,2091,0,27,27,http://localhost:8003/run-agent,0,0,1
1749989745490,42045,my_test_sampler,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8003 failed to respond,jp@gc - Ultimate Thread Group 1-18,text,false,,2091,0,27,27,http://localhost:8003/run-agent,0,0,1
1749989713535,92177,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-30,text,true,,1232,293,28,28,http://localhost:8003/run-agent,92177,0,1
1749989641914,164799,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-35,text,true,,5372,246,28,28,http://localhost:8003/run-agent,164799,0,1
1749989621118,188739,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-37,text,true,,1837365,282,28,28,http://localhost:8003/run-agent,188639,0,1
1749989726627,87323,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-26,text,true,,1203,293,28,28,http://localhost:8003/run-agent,87323,0,0
1749989743863,78753,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-31,text,true,,1102,246,29,29,http://localhost:8003/run-agent,78753,0,1
1749989595608,244780,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-24,text,true,,7188,377,29,29,http://localhost:8003/run-agent,244780,0,0
1749989779401,77005,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-33,text,true,,1195,246,30,30,http://localhost:8003/run-agent,77005,0,1
1749989787102,74712,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-25,text,true,,1201,293,30,30,http://localhost:8003/run-agent,74712,0,0
1749989646629,237434,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-22,text,true,,5565,377,31,31,http://localhost:8003/run-agent,237434,0,1
1749989704818,195427,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-39,text,true,,4984,270,32,32,http://localhost:8003/run-agent,195427,0,0
1749989812094,106660,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-30,text,true,,1152,246,33,33,http://localhost:8003/run-agent,106660,0,1
1749989705234,214377,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-38,text,true,,1836707,282,33,33,http://localhost:8003/run-agent,214288,0,1
1749989724427,195575,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-29,text,true,,4468,293,33,33,http://localhost:8003/run-agent,195575,0,1
1749989802081,123817,my_test_sampler,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8003 failed to respond,jp@gc - Ultimate Thread Group 1-14,text,false,,2091,0,33,33,http://localhost:8003/run-agent,0,0,1
1749989894067,31832,my_test_sampler,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8003 failed to respond,jp@gc - Ultimate Thread Group 1-24,text,false,,2091,0,33,33,http://localhost:8003/run-agent,0,0,0
1749989895454,30445,my_test_sampler,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8003 failed to respond,jp@gc - Ultimate Thread Group 1-11,text,false,,2091,0,33,33,http://localhost:8003/run-agent,0,0,1
1749989657751,293397,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-21,text,true,,6063,377,34,34,http://localhost:8003/run-agent,293397,0,0
1749989830686,130958,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-23,text,true,,1222,293,35,35,http://localhost:8003/run-agent,130958,0,0
1749989845073,131826,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-17,text,true,,1192,293,35,35,http://localhost:8003/run-agent,131826,0,1
1749989678053,300093,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-19,text,true,,6415,377,36,36,http://localhost:8003/run-agent,300093,0,1
1749989699541,279121,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-20,text,true,,5418,377,36,36,http://localhost:8003/run-agent,279121,0,1
1749989726472,252333,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-32,text,true,,1838434,282,36,36,http://localhost:8003/run-agent,252268,0,1
1749989743555,240052,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-36,text,true,,1837424,282,36,36,http://localhost:8003/run-agent,239989,0,1
1749989867162,119602,my_test_sampler,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8003 failed to respond,jp@gc - Ultimate Thread Group 1-25,text,false,,2091,0,36,36,http://localhost:8003/run-agent,0,0,1
1749989798732,188032,my_test_sampler,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8003 failed to respond,jp@gc - Ultimate Thread Group 1-27,text,false,,2091,0,36,36,http://localhost:8003/run-agent,0,0,1
1749989939442,47322,my_test_sampler,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8003 failed to respond,jp@gc - Ultimate Thread Group 1-14,text,false,,2091,0,36,36,http://localhost:8003/run-agent,0,0,1
1749989872887,113877,my_test_sampler,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8003 failed to respond,jp@gc - Ultimate Thread Group 1-10,text,false,,2091,0,36,36,http://localhost:8003/run-agent,0,0,1
1749989861159,125605,my_test_sampler,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8003 failed to respond,jp@gc - Ultimate Thread Group 1-33,text,false,,2091,0,36,36,http://localhost:8003/run-agent,0,0,1
1749989941157,45606,my_test_sampler,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: localhost:8003 failed to respond,jp@gc - Ultimate Thread Group 1-11,text,false,,2091,0,36,36,http://localhost:8003/run-agent,0,0,2
1749989869249,119678,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-26,text,true,,1179,246,36,36,http://localhost:8003/run-agent,119678,0,1
1749989804294,230921,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-18,text,true,,4486,293,38,38,http://localhost:8003/run-agent,230921,0,1
1749989812028,238043,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-34,text,true,,5315,270,39,39,http://localhost:8003/run-agent,238043,0,1
1749989814729,240862,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-40,text,true,,4642,246,39,39,http://localhost:8003/run-agent,240862,0,0
