timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749916181962,103110,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,197,377,7,7,http://localhost:8003/run-agent,103110,0,0
1749916206877,100804,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-48,text,true,,197,377,9,9,http://localhost:8003/run-agent,100804,0,1
1749916213343,103542,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,197,377,9,9,http://localhost:8003/run-agent,103542,0,1
1749916244623,103839,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-46,text,true,,197,377,11,11,http://localhost:8003/run-agent,103839,0,1
1749916314249,46939,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,197,293,11,11,http://localhost:8003/run-agent,46939,0,0
1749916324725,36464,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-48,text,true,,197,293,11,11,http://localhost:8003/run-agent,36464,0,0
1749916274844,104857,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-45,text,true,,197,377,13,13,http://localhost:8003/run-agent,104857,0,1
1749916322439,72791,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,197,293,13,13,http://localhost:8003/run-agent,72791,0,0
1749916364384,37068,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-48,text,true,,197,246,14,14,http://localhost:8003/run-agent,37068,0,1
1749916289684,114396,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-44,text,true,,197,377,14,14,http://localhost:8003/run-agent,114396,0,0
1749916295609,108907,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-47,text,true,,197,377,14,14,http://localhost:8003/run-agent,108907,0,1
1749916319500,97611,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-42,text,true,,197,377,15,15,http://localhost:8003/run-agent,97611,0,1
1749916394037,36610,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-46,text,true,,197,293,15,15,http://localhost:8003/run-agent,36610,0,1
1749916398077,36811,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,197,246,16,16,http://localhost:8003/run-agent,36811,0,1
1749916401550,38402,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-50,text,true,,197,246,16,16,http://localhost:8003/run-agent,38402,0,0
1749916333704,113960,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-43,text,true,,197,377,16,16,http://localhost:8003/run-agent,113960,0,1
1749916398101,73084,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-45,text,true,,197,293,18,18,http://localhost:8003/run-agent,73084,0,1
