timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748742880145,105586,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,5894,377,2,2,http://localhost:8003/run-agent,105585,0,9
1748743006655,37054,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1134,293,2,2,http://localhost:8003/run-agent,37054,0,1
1748743018406,136545,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,5526,377,3,3,http://localhost:8003/run-agent,136545,0,0
1748743047944,182428,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,2022,246,4,4,http://localhost:8003/run-agent,182428,0,23
1748743103658,231310,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,5308,377,5,5,http://localhost:8003/run-agent,231310,0,3
1748743156444,254021,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,4705,293,5,5,http://localhost:8003/run-agent,254021,0,2
1748743233746,271879,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,1836574,282,5,5,http://localhost:8003/run-agent,271779,0,2
1748743280526,323093,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,5455,377,5,5,http://localhost:8003/run-agent,323093,0,2
1748743331192,370428,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,5964,377,5,5,http://localhost:8003/run-agent,370428,0,1
1748743335461,434686,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,3462,293,5,5,http://localhost:8003/run-agent,434686,0,1
1748743421968,384211,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,1097,246,5,5,http://localhost:8003/run-agent,384211,0,2
1748743551326,328200,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,6541,270,5,5,http://localhost:8003/run-agent,328200,0,1
1748743664488,252090,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-2,text,true,,1163,293,5,5,http://localhost:8003/run-agent,252090,0,1
1748743764047,206194,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1166,293,5,5,http://localhost:8003/run-agent,206194,0,1
1748743780226,269079,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-3,text,true,,4270,246,5,5,http://localhost:8003/run-agent,269079,0,0
1748743828791,315253,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-4,text,true,,1837006,282,5,5,http://localhost:8003/run-agent,315172,0,1
1748743890037,327426,my_test_sampler,200,OK,jp@gc - Ultimate Thread Group 1-5,text,true,,6921,270,5,5,http://localhost:8003/run-agent,327426,0,2
